,County,School,% Advanced,% Proficient,% Basic,% Below Basic
30,PHILADELPHIA,ALLIANCE FOR PROGRESS CS,8.71,30.04,35.46,25.82
31,WASHINGTON,ALLISON PARK EL SCH,21.03,37.18,28.51,13.27
32,ADAMS,ALLOWAY CREEK INT SCH,23.89,36.77,30.04,9.31
33,BLAIR,ALTOONA AREA JR HS,11.8,33.91,31.2,23.13
34,BERKS,AMANDA E STOUT EL SCH,5.27,22.47,32.82,39.44
35,BEAVER,AMBRIDGE AREA JHS,11.68,29.7,31.85,26.79
36,BERKS,AMITY EL CTR,30.41,37.97,22.25,9.36
37,WESTMORELAND,AMOS K HUTCHINSON EL SCH,29.06,40.41,20.51,9.98
38,DELAWARE,AMOSLAND EL SCH,17.12,37.19,29.27,16.46
39,PHILADELPHIA,AMY AT MARTIN,5.67,26.45,36.86,30.97
40,PHILADELPHIA,AMY NW,7.87,41.69,38.69,11.72
41,PHILADELPHIA,ANDERSON ADD B SCH,0.97,9.89,26.87,62.21
42,ALLEGHENY,ANDREW W. MELLON MS,38.99,39.14,15.9,6.0
43,LEBANON,ANNVILLE CLEONA MS,19.84,38.15,25.05,17.03
